artist,release,label,review
Colombia,El Vallenato,Ocora,"Festive folk music from the country’s Caribbean region, with four basic forms — the son, paseo, merengue and puya — played with three traditional instruments: the caja vallenata drum, wooden guacharaca scraper, and three-line, German-style button accordion. Here are some of its most celebrated performers, including Francisco ‘Pacho’ Rada, Nicolas ‘Colacho’ Mendoza and Victor Camarillo."
Willie Colon,El Malo,Fania,NA
Willie Colon,The Hustler,Fania,NA
Willie Colon,Cosa Nuestra,Fania,NA
Johnny Colon,Portrait Of Johnny,Cotique,NA
Johnny Colon,Boogaloo Blues,Cotique,NA
Willie Colon,"The Good, The Bad, The Ugly",Fania,NA
Willie Colon,Willie,Fania,NA
Willie Colon,El Juicio,Fania,NA
Colonial Dance Bands,"Kenya, Tanganyika, Portuguese East Africa, Northern Rhodesia, Belgian Congo",SWP,"1950 and 1952. A variety of dance-band styles, nostalgic, exotic and pioneering all at the same time: pros playing to Europeans in hotels; or enthusiasts, copying the radio, to African audiences."
Congo,Pygmy Women Of The Sangha,Ocora,"Yeli singing, from northern Congo. Meandering, polyphonic counterpoint, with a sophisticated interlacing of sounds and motifs, and complex yodelling technique. ‘When something grave occurs, when someone fall sick, when the hunt is bad, or when death strikes, it must be that the forest herself is asleep and unable to watch over her children…We have to wake her up. And we do this with singing…’"
Congo,"Lari, Mbochi",Collection Prophet,NA
Congo Revolution ,,Soul Jazz,NA
Congotronics 2,Buzz'N'Rumble From The Urb'N'Jungle,Crammed Discs,NA
Corsica,Anthology Of Profane Songs And Music,Ocora,"Fifty 2011 recordings of voice — polyphonic paghjella, lullabies, laments, orations — and traditional instruments like goat horn, pirula flute and cialamedda bagpipes, and modern violin, mandolin, accordion."
Cortijo,And His Time Machine,Coco Records,NA
Cortijo,The Ansonia Years,Vampisoul,NA
Gal Costa,India,Mr Bongo,NA
Gal Costa,Legal,Elemental,NA
Count Lasher,Pick Your Choice,MRS,Excellent.
Count Lasher,Calypso Cha Cha Cha,Caribou,Between very good and excellent. No serious marks.
Count Lasher,Miss Constance,Caribou,"Worn. A nasty, long scuff; a few audible scratches."
Count Owen & His Calypsonians,Calypsos Down Jamaica Way,Dub Store,NA
Count Owen And His Five Stars,Love In Sweet Jamaica,MRS,Excellent. A small scuff on Nana.
Count Sticky and His Calypsonians,Now A Days Children,Caribou,Knackered.
Crete,The Art Of The Lyra,Ocora,"The lyra viol in heart-tugging, rug-cutting songs from the eastern Mediterranean, brilliantly performed by Stelios Petrakis."
Crying Bamboo,"Ceremonial Flute Music From Madang, New Guinea",Ideologic Organ,NA
Crystal,Music Life,Favorite,"Mid-eighties, discofied, funkdafied zouk by Franck Donatien’s eight-piece combo from the French West Indies. A GD Production, by George Debs.
Santo Domingo is the stand-out."
Joe Cuba,Breakin' Out,Seeco,NA
Joe Cuba,"Bang! Bang! Push, Push, Push",Fania,NA
Joe Cuba,El Alma Del Barrio — The Soul Of Spanish Harlem,Tico,NA
Cuban Funk Experience!,"Funky Sounds From Cuba And Miami, 1973-88",Nascente,NA
Cult Cargo,Salsa Boricua De Chicago,Numero,"Smoking mid-seventies Latin from Carlos Ruiz’ Ebirac label, headquartered back then in a bustling Puerto Rican community centre on the west side of the city."
Cult Cargo,Grand Bahama Goombay,Numero,"Seventies Caribbean soul and funk — one ear tuned in to nearby Miami, with reggae and jazz in the mix too — from Frank Penn’s Freeport operation."
Cumbia All Stars,Tigres En Fuega,World Village,NA
Cumbia Beat,Volume 1,Vampisoul,"‘Experimental Guitar Driven Tropical Sounds From Peru, 1960-1976.’"
Cumbia Beat,Volume 2,Vampisoul,NA
Cuneyt Sepetci,Bulgar Gaydasi,LM Dupli-Cation,"Intense, wild, brilliant Turkish party music by the virtuoso clarinettist, joined by wigged-out microtonal synth, violin, tapan, darabouka and electronic drums, and the ancient double-reed zurna. 
Terrific stuff, warmly recommended."
Cy Grant,The Constantine Calypso,Columbia,Mint.
Cy Grant,Lucky Oyster,Melodisc,Excellent.
Cyril Diaz Calypso Band,P.N.M Calypso,Kay,Just off excellent.
Cyril Diaz Orchestra,Ti Chabine Manze Titine La,Cook,NA
Cyril Diaz Orchestra,Jaunita,Kay,Excellent.
Czech Republic,"Music From Walachia, Hornacko And Kopanice",Ocora,"Lullabies, carnival, work, wedding, shepherds’, bandits’ — music for singing, flutes, bagpipes, guimbards, fiddles and cymbalums."
Czech Up!,Vol. 1: Chain Of Fools,Vampisoul,NA
Czech Up!,Vol 2: We'd Be Happy,Vampisoul,NA
Afous D'Afous,Tenere,Sahelsounds,"Undisputed kings of Tuareg rock, from southern Algeria, with a sound happily deaf to the stringencies of the world music industry, but seamed with pitch-bending North African synths, bluesy ruthlessness, hypnotically Malian guitarism, reverb-drenched dub… not to mention a slither of wretched world-reggae ... even some tabla!"
Dai Dai Simba,Modern Telephone,Melodisc,Excellent.
Bayo Damazio,Listen To The Music,Voodoo Funk,"Classy, spaced funk, originally issued in 1981 by Phonodisk, the most ambitious Nigerian label at that time. The Mighty Flames band expertly blends an Afro-cocktail of Roy Ayers, Kool And The Gang, Chic…"
Damily,Very Aomby,Bongo Joe,"New, furiously exhilarating Tsapiky music from the south-west of Madagascar, beside the Mozambique Channel. 
A rough, electric, rural take on the classic Congolese, Kenyan and Mozambican urban dancefloor styles of the 60s and 70s — hyper-fast interplay between pumping bass and clattering drums, overlaid with cranked-up high-life guitar — nourished with the musical traditions of local villages, especially in the lovely singing and other passages of acoustic respite.
Ace."
Damily,Valimbilo,Bongo Joe,"Bilo is a kind of depression; the valimbilo is the person who helps you through it. 
The cure for bilo is music. The patient sits opposite the players, who hone in on the sickness, which must be awakened, seduced and ambushed from every angle by sound, till breaking point. Once the bilo is overcome with the music, the patient recovers, and the ceremony ends.
Another walloping dose of Tsapiky music from Madagascar."
Danbe,Supreme Talent Show,Sahelsounds,"‘High energy beats from the kings of Bamako’s sound-system street-party scene, as featured on the Balani Show compilation. Cut-up samples of baliphones, djembes and talking drums, spliced together into heavy studio tracks. Future bass sounds — a Malian mix of kuduro, decale, dancehall, and trap.’
Scarce."
Daniela Casa,Ricordi D'Infanzia,Dagored,"Library music by the Madlib favourite, originally released on the legendary Italian label FLIRT in 1975: sweetly naive pop exotica."
Dao Bandon,Kon Kee Lang Kwai,EM,NA
La Daqqa,Sacred Drums From Marrakesh,Institut Du Monde Arabe,NA
David Waciuma & The Rapture Voices,Devil Go,Afro 7,"Wonderfully wild gospel doublesider from Nairobi, in 1976. 
Devil Go is a rollicking rhythm & blues arse jiggler. Jesu Kristo is stoner afro-funk.
Fab."
Daouda Dembele,Daouda Dembele,Yaala Yaala,"Beautiful, hypnotic, long-drawn-out praise singing in the ancient Malian jeli tradition, with ngoni accompaniment."
Eumir Deodato,Os Catedraticos 73,Far Out,NA
Eumir Deodato,O Som Dos Catedraticos,Ubatuqui,NA
Eumir Deodato,Impulso!,Ubatuqui,NA
Eumir Deodato,Samba Nova Concepcao,Ubatuqui,NA
Eumir Deodato,Tremendao,Ubatuqui,NA
Deodato,Ataque,Far Out,"Eumir Deodato and his group Os Catedráticos.
‘The magical, hazy sound of sixties Rio, with monster samba grooves, scorching organ solos and big brass arrangements (featuring trombonist Edson Maciel); all buoyed by the hip rhythms of drummer Wilson Das Neves and Ruebens Bassini on percussion. Besides Deodato’s own, there are compositions by Marcos Valle, Baden Powell and Luiz Bonfa.’"
Derdiyoklar,Coban Mamos,Pharaway Sounds,"A ton of drunk people stomping about in a circle to the frenetic, overdubbed, distorted sound of electric saz, synthesized drums, cimbalom, and sheep sound effects: yep, Bengi Folk, Derdiyoklar-style."
Desert Blues 3,Entre Dunes Et Savanes,Network,NA
Keletigui Diabate,Sandiya,Contre Jour,NA
Toumani Diabate And Sidiki Diabate,Toumani And Sidiki,World Circuit,NA
Diablos Del Ritmo,"The Colombian Melting Pot, 1960-1985",Analog Africa,"Triumphant selection of afrobeat, puya, cumbiamba, terapia, mapale and Caribbean funk."
Fatoumata Diawara,Fatou,World Circuit,NA
Manu Dibango,African Voodoo,Hot Casa,NA
Dictator,Me Mama Say No Give,Viladisc,NA
Dictator,Last Train To San Fernando,Sagomes,"VG, only."
Diego Amador,Rio De Los Canasteros,World Village,"Fundamentally, this is brilliant no-frills flamenco, but Diego’s a pianist, not a guitarist, which opens the music to jazz and modern-classical cross-currents."
Digital Caresse,Demain,Beau Monde,"A dreamily odd, Antillean blend of synths, flute and drum machines, featuring a children’s choir. Originally a tiny 1986 pressing in Guadeloupe, revived by the Diggers Digest crew."
Digital Zandoli,2,Heavenly Sweetness,NA
Disco Dildar,,Finders Keepers,"Beat-box-driven, DIY, cut-and-paste disco from late 1970s and 80s Lollywood teen flicks.
Sohail Rana and co — with Noor Jehan amongst the singers. 
Invigoratingly off-the-wall."
Disque La Raye,60s French West Indies Boo-Boo-Galoo,Born Bad,NA
Disques Debs International,Volume 1,Strut,"Our man Hugo from Sofrito and Nouvelle Ambiance presents the first compilation of the one of the greatest of all French Caribbean labels, running out of Guadeloupe since the late ‘50s, with more than three hundred sevens and two hundred LPs to its name. This initial volume covers the opening decade, when recordings were made in the back of Henri Debs’ shop in Pointe-a-Pitre, including the percussive biguines of his own sextet, young saxophonist Edouard Benoit, big bands like Orchestre Esperanza and Orchestre Caribbean Jazz, poet and radio personality Casimir Létang, and rootical gwo ka artist Sydney Leremon — not to mention visiting artists like Haitian trumpeter Raymond Cicault and Trinidadian bandleader Cyril Diaz."
A Distant Invitation,"Street And Ceremonial Recordings from Burma, Cambodia, India, Indonesia...",Sublime Frequencies,NA
The Divine River,Ceremonial Pageantry In The Sahel,Sublime Frequencies,"Shot between 2007 and 2012, Hisham Mayet’s film is an exhilarating, hallucinatory, harrowing record of music, ritual, life, and landscape along the Niger River, as it winds through Mali and the Republic of Niger."
DJ Katapila,Trotro,Awesome Tapes From Africa,"Utterly infectious, bubbling, spare, playful house music from Ghana, steeped in neo-traditional idioms like gome and kpanlogo, as much as vintage Chicago acid and UK rave, highlife and hiplife, soca and dancehall. (As well as Accra pop radio stars like Crystal Waters, Inner Life and Rick Astley.) Over bass-heavy, percussive rhythms, Trotro sings, chants and raps in Twi and Ga, often like no one is listening. It’s impossible not to answer back. 
Terrific, refreshing stuff."
DJ Katapila,Trotro 12,Awesome Tapes From Africa,NA
Djamchid Chemirani,Improvisations Au Zarb,Harmonia Mundi,"The zarb, or tonbak, or goblet-drum, is the most important percussion instrument in traditional Iranian music; and these are stunning, virtuosic recordings from 1976 by this member of the Chemirami Trio, whose apprenticeship to the great Hossein Tehrani began at eight years of age."
Djavan,O Voz O Violao,Vinilissimo,NA
Doing It In Lagos,"Boogie, Pop & Disco In 1980s Nigeria",Soundway,NA
Don't Think I've Forgotten,Cambodia's Lost Rock And Roll,Dust To Digital,NA
Joao Donato,Sambou Sambou,El,"Two beautiful 1962 albums: Muito A Vontado, JD on piano, with the likes of Sebastian Netto and Milton Banana, authentic Brazilian jazz; Bossa Nova Carnival, devoted to his music, with Dave Pike, Kenny Burrell…"
Doreen Gravesande,Ting-A-Ling,Caribbean Gems,"Worn, with scratches."
The Drummers Of Burundi,Les Tambourinaires Du Burundi,Real World,NA
Dub Colossus,A Town Called Addis,Real World,"A collaboration between Ethiopian musical legends and brilliant newcomers, and the legacy of Trans Global Underground — in this blend of ethiojazz and seventies roots reggae."
Dub Colossus,Addis Through The Looking Glass,Real World,NA
Duke of Iron,Fire Down There,Monogram,"Short-lived scuffs/wear, early on both sides; otherwise excellent."
Dur Dur Of Somalia,"Volume 1, Volume 2",Analog Africa,NA
Dur-Dur Band,Dur-Dur,Awesome Tapes From Africa,"Precious, late-eighties dance music from Mogadishu. Big group —  three horns, four singers plus three backing, two guitars, keys, drummer, two percussionists, bassist — choca with funk swagger and highlife shimmy."
E.T. Mensah & The Tempos,King Of Highlife,RetroAfric,NA
Ecstatic Music Of The Jemaa El Fna,,Sublime Frequencies,"Fantastic. Raw, blazing street music from Marrakesh. Electrified banjos and mandolins, drums, singing; amps run off moped batteries; the definitive interpretation of the Dana International hit Sabra And Shatilla."
Eddie Cano And His Quintet,Brought Back Live From P.J.'s,Dunhill,NA
Edo And The O.K.Jazz Orchestra,Azali Mwasi Baponeli Nga,His Master's Voice,"Wear, scuffs, scratches."
Edric Connor,Carry Me Back To Old Virginny,Decca,"Between very good and excellent, with a chip to the edge of the side 2 which does not affect play."
Edric Connor,Crucifixion,Decca,Excellent. Edge-chip on the flip runs to the very start of the recording.
Edric Connor,The Lord's Prayer,Decca,Excellent.
Edric Connor,Manchester United Calypso,Oriole,Numerous light scratches and scuffs.
Edu Lobo & Maria Bethania,Edu & Maria,Audio Clarity,NA
Edu Passeto & Gui Tavares,Noite Que Brincou De Lua,Far Out,"Wistful, dreamy MPB blend of rock and soul, psychedelic folk, jazz, and bossa, by these graduates of the Clube de Esquina. Remastered from the original 1981 reels."
Edzayawa,Projection One,Soundway,"Moody, experimental, Ghanaian Afro-Rock — recorded by these teenagers in 1973 for EMI Nigeria, after a run at Fela’s Shrine."
Effi Duke,Mr. Love,PMG,NA
Egisto Macchi,Pittura Contemporanea,Cinedelic,"Three LPs originally out on Ayna — Contemporary Painting, and Modern Painting 1 and 2 — beautifully presented on coloured vinyl, in a rigid case, with canvas covering."
Egisto Macchi,Africa Minima,Sonor,"Startling, brilliant, minimalist experiments for percussion and electronics. Issued by Ayna as a tiny private pressing in 1972; re-mastered now from EM’s own master-tapes. Daring fun; warmly recommended."
Egypt,The Musicians Of The Nile,Ocora,"Epic poetry wrapped up in the rabab viol (a coconut shell covered with fish skin, with a long, spiked handle, two horsehair strings), the vertical suffara flute, the arghul double clarinet, droning and melodious."
Cheikh El Afrite,Trésors de la Chanson Judéo-Arabe,Buda Music,"The ‘little devil’ was born in Tunis in 1884 to a Libyan mother and Moroccan dad. The first half of the twentieth century was a golden era in Tunisian music; Cheikh El Afrite its most celebrated artist. As a youngster he became fluent in its mix of classical Arab-Andalous and Ottoman traditions with folk idioms like bedouin and other African melodies, fondo and fezzani, and the festive tripolitain music of Libya. Turning professional at eighteen, he was soon singing for the bey every Tuesday night, at his seaside palace in Hammam Lif. Later, his recordings made him star throughout the Maghreb."
El Boy,"Jack, Jack, Jack",Columbia,Mint.
El Hadj N'Diaye,Geej,Marabi,Scintillating Senegalese finger-picking.
Abdou El Omari,Nuits De Printemps,Radio Martiko,NA
El Rego,,Daptone,"Raw Benin soul, from the early-seventies 45s of Theophile Do Rego. Folk rhythms on modern instruments, John Lee Hooker here and Fela there, afro-cuban claves, and straight-up James Brown style funk."
El Triangulo Del Flamenco,,Winter And Winter,"Tremendous, new, informal recordings from the bars, private houses and streets of Jerez, Seville and Cadiz. You can hear insects, dogs barking. The music is fierce, unpolished, searing and soaring. Really great."
El Turronero,New Hondo,Pharaway Sounds,"A startling mix of disco, funk, boogie and traditional flamenco, from 1980. Full, woozy orchestrations, with Earl Young-style drumming, synths and electric sitar. The opener Las Penas is a cosmic disco classic."
Ostad Elahi,A Spiritual Epic: The Art Of Oriental Tanbur Lute,Le Chant Du Monde,The latest reissue installment of these amazing recordings of solo lute from Iran.
Ostad Elahi,Destinations,Le Chant Du Monde,"Out-of-this-world tanbur-lute playing, recorded in Tehran at the start of the 1970s (with one track, Tarz, from the 1950s)."
Ostad Elahi,Presence,Le Chant Du Monde,NA
Ostad Elahi,Awakening,Le Chant Du Monde,"Solo home recordings of the tanbur lute. Compositions, modes and improvisations."
Ostad Elahi,My Beginning And My End,Chant Du Monde,NA
Ostad Elahi,Resilience,Chant Du Monde,NA
Elcados,What Ever You Need,PMG,"Initially the Moonrakers, formed in Kanu in 1968, by Steve Black, Rocky Mustapha, Tony Nosika and Frank Martins. This is their swansong, a decade later: irie Afro-disco."
Elza Soares,The Woman At The End Of The World,Mais Um Discos,NA
Emahoy Tsegue-Maryam Guebrou,Spielt Eigene Kompositionen,Mississippi,"Utterly beautiful solo-piano explorations in African folk, spiritual meditation, Satie-esque classicism and Tatum-esque jazz, by this Ethiopian nun, on her 1963 LP debut in Germany. Stunning; highly recommended."
Emahoy Tsegue-Maryam Guebrou,,Mississippi,"A second helping from Mississippi. ‘Gebru is a true original,’ says the label. ‘Her playing is somewhere between Satie, Debussy, the liturgical music of the Coptic Ethiopian Church, and Ethiopian traditional music. It is some of the most moving piano music you will ever hear! All original compositions available for the first time on vinyl beyond the original early 1960s editions, which are completely impossible to find. Old school tip-on cover with gold foil printing. A must-have masterpiece for anyone who needs some spiritual comfort.’"
Emilio Santiago,,FAROUT RECORDINGS,"The LP debut of the great bossa singer, from 1975, with a little help from a roll-call of Brazilian greats: Joao Donato on keys: Wilson das Neves, Ivan Conti and Paulinho on drums; Durval Ferreira, Carlos Roberto Rocha and Helio Delmiro on guitar; Ariovaldo, Orlandivo and Chacal on percussion; Danilo Caymmi on flute; a brass section
featuring Victor Assis Brasil, Edson Maciel and Jesse Sadoc; and backing vocals
from Jaime and Nair, Lucia Lins, Jurema and Marcio Lott.
Written by Joao Donato and Gilberto Gil, Emilio’s signature tune Bananeira always gets a party started right; Brother is a smooth-grooving killer with great horn arrangements and massed choir; La Mulata is a soulful, swinging salsa stepper."
Ensemble Al Kindi,Arab Music From The Time Of The Crusades,Chant Du Monde,NA
Ensemble Al Kindi,Whirling Dervishes Of Damascus,Chant Du Monde,NA
Ensemble El-Moukhadrami,Chants De Griots — Mauritania,Institut Du Monde Arabe,NA
Erasmo Carlos,E Os Tremendoes,Light In The Attic,NA
Erasmo Carlos,"Carlos, Erasmo",Light In The Attic,NA
Eric Hayden,Stone Cold Dead In The Market,Monogram,Excellent.
Eric Hayden,Draw Down More,Melodisc,Perhaps just shy of excellent.
Eric Hayden,Give Her The Number One,Paragon,Excellent condition.
Eric Hayden,Malumbo,Melodisc,Excellent.
Ernest Hare,Black Star Line,Edison,"Amazingly good condition. Some chipping to the outer edge, inside the run-in; the label is worn, on the Emma Johnson side."
Esther Suarez,La Bolognesina,Little Axe Records,NA
Estonia,Seto Songs,Ocora,"From the south-east corner, with uneasy Estonian identity, and ties to Russia via the Orthodox Church — striking singing about everything, in different lineups, with recordings from the 1930s till up to date."
Esy Morales,Jungle Fantasy,Rainbow,Worn.
Ethiopian Hit Parade,Volume 1,Heavenly Sweetness,NA
Ethiopiques 1,"Golden Years Of Modern Ethiopian Music, 1969-1975",Buda Music,"Music from the Amha label run by Amha Ashete, driving force of modern Ethiopian music."
Ethiopiques 10,Blues And Ballads,Buda Music,NA
Ethiopiques 11,Alemu Aga,Buda Music,"With virtuoso self-accompaniment on the beguena — an oversize ten-string lyre, the oldest instrument played in Ethiopia: religious songs as well as traditional fables, folk tales and poems."
Ethiopiques 12,Kirba Afaa Xonso,Buda Music,"The music of the Konso — a tribe from the Sudanese border country — to do with daily chores, sacred or ritual matters, and entertainment. Flutes, bells, harps, horns, xylophones, drums."
Ethiopiques 13,Ethiopian Groove,Buda Music,Another survey of the golden age of modern Ethiopian dance music — bound up with the production of vinyl records — between 1969 and 1978.
Ethiopiques 14,Getatchew Mekurya,Buda Music,"Starting in the early fifties, long before Ayler and Ornette, Mekurya’s stroke of genius was to give improvisatory voice on his saxophone to the ‘shellela’ singing style — epic, harsh, war-like."
Ethiopiques 15,Jump To Addis,Buda Music,"A gathering of Ethiopian, French and Dutch musicians, refreshing jazz and rock and roll influences in the mix."
Ethiopiques 16,Asnaqetch Werqu,Buda Music,"Self-taught on krar-lyre, favourite instrument of the azmari; and — alternately poignant and sarcastic — the last great singer, story-teller and free-thinker to carry on their tradition of poetic cut-and-thrust."
Ethiopiques 17,Tlahoun Gessesse,Buda Music,"For Ethiopians, their greatest singer of all time; with music arranged by Mulatu Astatqe for the Army Band, the Exhibition Band, the Police Orchestra, the Bodyguard Band."
Ethiopiques 18,Asguebba!,Buda Music,"The sequel to Volume 2 in this series, and featuring many of the same singers, accompanied by the messenqo (one-string fiddle), the krar lyre, the kebero drum and the accordion."
Ethiopiques 18,Asguebba!,Buda Music,"Dance music, picking up from Volume 2, including many of the same performers. With meessenqo (one-string fiddle), krar lyre, kebero drum and accordion."
Ethiopiques 19,Mahmoud Ahmed,Buda Music,"Alemye, from 1974."
Ethiopiques 2,Urban Azmaris Of The 90s,Buda Music,"The azmaris were originally wandering minstrels, roaming the Abyssinian countryside. These varied snapshots of the musical life of Addis Ababa in the 1990s are offered as a kind of homage to them."
Ethiopiques 20,Either Orchestra,Buda Music,"The Boston-based big band live in Addis in 2004, with special guests Mulatu Astatke and Getatchew Mekurya."
Ethiopiques 21,Emahoy Tsegue-Maryam Guebrou,Buda Music,"Unmissable, wonderful solo piano. Chopin, Tatum, Satie and company, steeped in the Ethiopian sound."
Ethiopiques 22,Alemayehu Eshete - More Vintage!,Buda Music,NA
Ethiopiques 23,Orchestra Ethiopia,Buda Music,NA
Ethiopiques 24,"Golden Years Of Modern Ethiopian Music, 1969-1975",Buda Music,"Like volumes one and three, drawing on the legendary Amha Records catalogue, with several newcomers to this fantastic series, and a couple of very early Mulatus. You know what to do."
Ethiopiques 25,1971-1975 Modern Roots,Buda Music,NA
Ethiopiques 26,Mahmoud Ahmed And Imperial Bodyguard Band,Buda Music,"The great singer in rambunctious, rootsy and jazzy recordings from 1972-4."
Ethiopiques 27,Tessema Eshete,Buda Music,"Precious relics from Berlin, 1908. UNESCO has stumped up for a lavish presentation, with fine notes and translations; but surely the fly in the ointment is the difficulty of actually listening through the music."
Ethiopiques 28,Ali Mohammed Birra,Buda Music,"The Imperial Bodyguard Band singer, who tuned his guitar like an oud. Oromo reasoning about love, existence and resistance, with a tasty Arab twang. Mississippi presented him on vinyl recently."
Ethiopiques 29,Kassa Tessema,Buda Music,"Bluesily poetic baritone singing in the great post-war tradition of Assèfa Abatè, Fréw Haylou, Asnaqètch Wèrqu, Kètèma Mèkonnen and co. Lovely."
Ethiopiques 3,"Golden Years Of Modern Ethiopian Music, 1969-1975",Buda Music,"Sublimely tilted like Sun Ra, rocking like James Brown at the Apollo, the tracks here by police bands are a reminder that Ethiopia at the time had no independent modern groups."
Ethiopiques 30,Girma Beyene,Heavenly Sweetness,NA
Ethiopiques 4,"Ethio-Jazz And Musique Instrumentale, 1969-1974",Buda Music,"Presenting the musical giant, keyboardist Mulatu Astake — that’s him on the sleeve with Duke Ellington."
Ethiopiques 5,"Tigrigna Music, 1970-1975",Buda Music,The music of Tigray and Eritrea — where the majorities speak the Tigrigna language — is rhythmically and melodically different from Ethiopian music.
Ethiopiques 6,Mahmoud Ahmed,Buda Music,"His first LP, Almaz, originally released in 1973."
Ethiopiques 7,Mahmoud Ahmed,Buda Music,"Collects Ahmed’s 1975 recordings for the Kaifa label, including the LP Ere Mela Mela released in Europe by Crammed Discs, back in 1986."
Ethiopiques 8,"Swinging Addis, 1969-1974",Buda Music,"Soul, rhythm and blues, even the Twist re-articulated in Addis Ababa."
Ethiopiques 9,"Alemayehu Eshete, 1969-1974",Buda Music,Frantic rock and heartrending ballads from this showman with the Little Richard pompadour.
Ethnic Minority Music of Northwest Xinjiang,,Sublime Frequencies,"Traditional Islamic folk music from China, with Arabic, Persian, and Turkish influences: Kazakh, Uyghur, Kirgiz and Mongol Erut musicians on stringed instruments like topchar, komuz, rushtar, rawab, tchang."
Ethnic Minority Music of Southern China,,Sublime Frequencies,Infectious songs and rootical instrumentals — the fifth SF album presenting Laurent ‘Kink Gong’ Jeanneau’s amazing documentation of the vanishing indigenous music of the rural Asian frontiers.
Etoile De Dakar,"The Birth Of Mbalax, 1979-1981",Stern's,"The explosive, smash compound of Latin, African and psychedelia, spearheaded by Youssou N’Dour. With a dollop of rarities, never sounding better, and a good booklet. Great stuff."
Etran De L'Air,No. 1,Sahelsounds,NA
Etuk Ubong,Black Debtors,Afro 7,"Thunderous new music from Akwa Ibom State in southern Nigeria, combining funk, high-life, jazz and afrobeat, adding delay and other effects. 
‘It never manifest, they never fulfill their promises. They are meant to provide good roads, stable light, free education, free health care facilities, jobs and security.’"
Cesaria Evora,Cabo Verde,Lusafrica,NA
Cesaria Evora,Cafe Atlantico,Lusafrica,NA
Cesaria Evora,Sao Vincente So Longe,Lusafrica,NA
Cesaria Evora,Club Sodade Remixes,Lusafrica,NA
Cesaria Evora,Rogamar,Lusafrica,NA
Cesaria Evora,Miss Perfumado,Lusafrica,NA
Cesaria Evora,Mar Azul,Lusafrica,NA
Cesaria Evora,Voz D'Amor,Lusafrica,NA
Cesaria Evora,Cesaria,Lusafrica,NA
Cesaria Evora,Radio Mindelo,Lusafrica,Early recordings.
Excavated Shellac,Reeds,Parlortone,"The sequel to Strings — 78s from around the world, this time featuring reed instruments."
Fabiano Do Nascimento,Danca Dos Tempos,Now Again,NA
Fabiano Do Nascimento,Tempo Dos Mestres,Now Again,NA
Faduma Kassim,Majogo,Afro 7,"Vintage Benadiri funk scorchers from Somalia, both sides; beautifully sleeved. 
Knockout stuff for Ethiopiques fans. Don’t miss it."
Fairuz,Bayaa Al Khawatem,Rightrack,NA
Fairuz,Lebanon For Ever,Rightrack,NA
Fairuz,Al Mahatta,Rightrack,NA
Fairuz,Jerusalem In My Heart,Rightrack,NA
Fairuz,La Gardienne Des Cles,Rightrack,NA
Fairuz,Wahdon,Wewantsounds,"Originally released in 1978, Wahdon announces this great diva’s switch from traditional to more modern idioms and arrangements. 
Three mesmerising songs to start, including Habaitak Ta Neseet Al Naoum (I Loved You So Much I Forgot To Sleep), with ravishing strings and percussion. 
Recorded in Athens at the studios of EMI Greece during the same sessions as Zaid Rahbani’s Abu Ali LP, and likewise edging into funk and disco, the second side is something else. In Al Bostah (The Bus), a woman recalls a bus journey with a lover, in scorching heat, to extended, hypnotic, uptempo, funkdafied disco. The title track Wahdon crafts a slower, jazzier setting for Fairuz’ out-of-this-world singing.
Hotly recommended."
Fanafody,"A Collection Of Recordings And Photography From Madagasikara, Volume 2",Mississippi,"Charlie Brooks’ field recordings from 2002, featuring violin players and throat-breathing singers."
Fania All Stars,Live At The Red Garter Vol.2,Fania,NA
Fania All Stars,Latin-Soul-Rock,Fania,NA
Fania All Stars,Live At The Cheetah Volume 1,Fania,NA
Fedia Laguerre,Divizion,Atangana,NA
Feeling Kréyol,Las Palé,Strut,NA
Female Yakuza Tale,,Fabulous,NA
Ibrahim Ferrer,Mi Sueno,World Circuit,"Beautiful, small-group boleros. Ibrahim’s last, attenuated sessions before his passing in 2005."
Festival Flamenco Gitano & Da Capo,,ACT,"Magnificent, unadulterated, landmark recordings from 1965, originally released as two Fontana LPs."
Finding Fela,OST,Knitting Factory,NA
Mona Finnih,I Love Myself,Voodoo Funk,Boogie-down cosmic funk — like full-throttle Roy Ayers. Jimi Adams packs his inner Hendrix off to Funky Town; the horns are the horniest; Mona runs it all down with an irresistible West African tilt. 
First Planet,Top Of The World,Voodoo Funk,"Afro-space-disco murder — shuffling and wiggling, synthy and bubbling — from this re-incarnation of Willy Nfor’s Mighty Flames, recruited mostly from the wave  of Cameroonian musicians drawn to Nigeria in the late-1970s by its heavy new funk sound. It’s a long way from Ohio, but the Troutmans are in the mix."
Ella Fitzgerald,Stone Cold Dead In The Market,Brunswick,Pretty much excellent.
Fitzroy Coleman,Alley Dog,Melodisc,Just off excellent. Some scuffing.
Five Days Married And Other Laments,"Song and Dance from Northern Greece, 1928-1958",Angry Mom,"Unearthly, unhinged music ranging from plaintive, ancient dirges to hypnotic, droning dance pieces. 78s, mostly reissued for the first time. Decent notes, translations; lovely, original Crumb artwork."
Flora Purim,Butterfly Dreams,Elemental,NA
Folk And Pop Sounds Of Sumatra,Vol. 1,Sublime Frequencies,"Limited, gatefold LP version of the first SF CD release in 2003: droning beat pop, early Orkes Melayu songs, Batak Tapanuli, traditional Minang, and rare folk drama from the Indonesian island, from cassettes."
