artist,release,label,cat_no,review,release_id
Pris,Flagrant Foul,Non Series,032,Pristine optimized big room Techno bomb,80005
Rolando,D & N’s,Ostgut Ton,066,"Jacking, classy Techno",68336
Various Artists,Unknown Landscapes Selected 1,Pole Group,021,Prime league Techno mini-compilation,69798
Faerber,070717 EP,Tilt,001,"Straight ahead, subtly EBM tinged Techno trips",18544
Ben Buitendijk,Alternative Hypothesis,Oblique Music,008,Boomy reverberating Techno trips,80018
Abstract Man,Pillar,On The 5th Day,002,"Mesmerizing, dusky, boomy Techno EP",80017
Denise Rabe,The Frogs Pick A King,Rabe,003,"Driving, stepping Techno cuts b/w ace Orphx & Nur Jaber remixes",80019
Subradeon,God Bless,Subradeon,001,"Driving, effective, Rob Hood oriented Techno cuts",80123
Neel,Transition,Token,086,Boomy atmospheric big room Techno EP,80006
Henning Baer & Milton Bradley,A Shared Objective,K209,4,"Raw DJ tool rhythm tracks & droning, atmospheric Techno",71455
Strathy,Space Nation,Vault Series,024,"Full-on, effective, banging Techno cuts",80094
Various Artists,Figure 100,Figure,100,"Boomy, perfect, temporary big room / festival Techno DJ tool set",18606
Lewis Fautzi,Deep Illusion,BPitch Control,337,"Highly effective, perfect, DJ tool big room Techno",19379
Circular Rhythms,The Bremsstrahlung EP,Dred,007,"Partly Acid driven, bouncy Tech House & classic Techno centred DJ tool set",17760
Limit-Xperience,Primrose Pain,Orden Extática,001,"Excellent, Silent Servant co-prod. EBM infused Techno trips",79930
Marcel Dettmann,Test - File,Ostgut Ton,114,"Proper tool set for real DJs - pounding, minimalist, subtly textured Techno grooves",18743
Lucy,Churches Schools And Guns Remixed,Stroboscopic Artefacts,021,Fine dark & tripping Techno remix treatment,70018
Phase,Alone In Time? Remixed,Token,065,Perfect James Ruskin & Regis prod. stepping Techno remix b/w optimized Phase remix,08006
Nthng,The Traveller,Transatlantic,001,"Fast paced, mesmerising Ambient Techno pulses",18521
LDS,Dub Tapes from Outer Space,Transatlantic,005,"Fast moving, partly dubbed out Ambient Techno excursion",18525
Ausgang,Ausgang 1,Ausgang,001,"Heavy, reduced DJ tool Techno",70933
Bas Mooy,Uniform Of The Outsider EP,Planet Rhythm,UK 082,"Dark, heavy mesmerising Techno EP",28386
Various Artists,Livetake,Drum,001,"Fine, atmospheric, driving Techno cuts",80056
Various Artists,Function V/A,Form And Function,Func 001,Boomy effective big room Techno mini-compilation,80055
Amandra,Dame De Bahia Remixes,Obscura,006,Blissful to boomy Techno remixes (download card included),80052
Johnny Island,Radius,Smaragd,003,"Effective, focussed, punchy Techno EP",79946
Signalweiss,Feelings,Fracture,008,"Boomy, minimalist, driving Techno",80080
Youandewan,Ideal Passage,Aus Music,131,Effective big room Tech House floaters,18831
Lord Tang,Butterflies,Meakusma,020,Far out Ambient/Techno/Field adventures,76705
Rendered,Holeintehead,Aufnahme + Wiedergabe,XIX,"1990s EBM tinged, direct Techno banger",78798
Alex.Do,Songs,Magazine,020,"Dominating, distorted, direct Techno bangers",18886
Subjected,Steel EP,Arts,013,"Perfectly executed, effect guaranteed, reduced Techno stomper",73702
Various Artists,Fokus Expiration,Format,014,"Highly effective, varied, boomy Techno stompers",79935
Headless Horseman,HDL 002,Headless Horseman,002,Excellent Techno EP,68303
MTD,From The Heart,Methodical,004,"Fine, effective, deep Techno stompers",79850
D. Carbone,Anomalies EP,Mord,011,"Direct, hard hitting Acid Techno 1990s style",71576
Jokasti & Nek,Alex Drove Us Home,Mord,040,"Fresh, merciless, forceful Techno bangers",78036
Planetary Assault Systems,Deep Heet Vol. 4,Mote Evolver,050,"Expertly executed, spaced out big room Techno pounders",78588
Steffi,JBW25,Ostgut Ton,090,"‘original version and its Techno and Electro drive this 12"" comes full circle’",73755
Various Artists,Planet Rhythm Presents Tar Hallow,Planet Rhythm,UK LTD TAR,Banging acidic Techno mini-compilation,78487
L.B. Dub Corp,Roar,Stroboscopic Artefacts,Totem 002,"Forceful, reduced, effective Techno cuts",79949
Gedevaan,Class Compliant,Syberian,004,Excellent heavy stomping Techno EP,79991
Anthony Parasole,Point God,The Corner,013,"Reduced, deadly effective DJ tool Techno cuts",73538
S S S S,There Is No Us,Aufnahme + Wiedergabe,XVII,"Tough, noisy, Industrial leaning Techno stepper",29116
Nautiluss,Liquid Sky,Seilscheibenpfeiler,003,"Highly effective, uplifting Techno rave trained bangers",19380
Conforce,Terra Modis,Delsin,129,Atmospheric dubbed out Techno dreaminess,79641
Punctum & Alfredo Mazzilli,Punctum II,Fides,008,Perfect boomy big room Techno stompers,19757
Sciahri,Mysterious Love,Ilian Tape,X 03,Proper Techno EP,70834
Kaiser,State Of Existence,KSR,001,"Effective, boomy, expertly prod. Techno cuts",79916
Giorgio Gigli & VSK,Silent Age,Planet Rhythm,UK LTD VSK,High pressure big room Techno trips,77125
Alien Rain,Alien Rain Part VI,Alien Rain,006,"Crystal clear, Acid appreciating Techno blinder",38115
Asmar / Gëinst,Arts Gallery I,Arts,Gallery 001,"Opulent, dreamy, boomy Techno EP",78988
Hemka,707 Collision,Balans,023,"Driving,boomy, stomping Techno cuts",79282
∑,Summe,Ostgut Ton,Unterton 007,"Classy, explorative Techno EP",72926
Myn,The Violent Poetry,Pinkman,Broken Dreams 012,"Heavy, retro-esque, New Wave / Industrial EP",79289
Roseen,Confession Reversion,Ausgang,002,Superb Techno bangers,74536
Don’t DJ,All Love Affairs Fail But They Never End,Berceuse Heroique,050,"Futurist, Outernational musics derived rhythm textures w/ experimental edged atmospheres",18832
D. Carbone,Carbone Master System,Carbone,002,Full on Acid Techno onslaught,79005
Milton Bradley,The Unheard Voice,Do Not Resist The Beat,09,"Killer, sub heavy, pulsating Techno drone (formerly released as Prologue 011)",60492
James Ruskin,Jealous God,Jealous God,002,Proper Techno/Ambient-Techno EP; black vinyl repress w/o further extras,69034
DJ Overdose,s/t,L.I.E.S.,116,Tough 'The Hague’ style Techno/EBM/Electro integrartion,19348
Gotshell,First Tomorrow,Mord,053,"Varied, boomy, effective DJ tool Techno cuts",79933
AnD,Dark Matter,Electric Deluxe,038,Hard hitting Techno bangers,71857
Paula Temple,Colonized,R&S,1307,"Noisy, metallic percussions driven, atmospheric & uplifting Techno",21570
Stanislav Tolkachev / YYYY,Locus Of Control,Weekend Circuit,011,"Mind-bending, highly concentrated Techno bombs",75426
Doomsday Device,Device One,Doomsday Device,Device One,"Taking up early 1990s Belgian Techno Rave vibes - minimalist, pure, effective DJ cuts",28001
Guilt,Guilt,Medical,MRT 011,"Driving, minimalist Techno blending Acid wuth EBM vibes",18843
Yagya,Rigning,Delsin,X 14,Reissue of beautiful Ambient / Dub Techno album w/ extended vinyl tracklist,79465
Various Artists,Eagle Nebula,Dahlia,995,Ace atmospheric Ambient Techno / Acid Techno bliss,79952
Janice,AA Remixes,Janice,005,"Varied, pounding, highly effective Techno remix package (download sticker included)",79912
Ferdinger,Abbild,Life In Patterns,002,"Full-on, uplifting, dreamy big room Techno pounders (download sticker included)",79947
Setaoc Mass,Solid Void,SK Eleven,006,Flawlessly pounding big room Techno EP,79493
Don Williams,Detroit Red EP,Artless,2202,"One sided pressing, black vinyl, classic Detroit rooted techno",55700
Janzon,Twisted Dust,Code Is Law,007,"Proper dark, heavy, stomping Techno EP",72900
Geistform,Tension,Hands,V 070,Dark spacious industrial-esque Techno killers,74209
Bas Mooy,Propaganda,Planet Rhythm,UK 069,"Effective, big room DJ tool Techno",24426
Setaoc Mass,Flying Machine EP,Figure,099,Banging DJ tool Techno EP w/ Ambient interludes,19045
Woo York,Alien Worlds EP,Dystopian,021,Crisp atmospheric big room Techno drifters w/ stomping The Advent remix,37410
Uncto,Unctuous,Furanum,015,"Dark, heavily pounding, stepping Industrial Techno EP",79758
Andrés Zacco,Unseen,Ilian Tape,X 10,Fabulous dreamy Techno / Ambient bliss,77198
Stanislav Tolkachev,Champions' Breakfast,Raw Waxes,009,"Inimitable, killer, pure Techno dynamics",79429
Lewis Fautzi,Unconsciousness EP,Warm Up,045,Perfect big room Techno effectiveness,75670
Stefano Moretti,Tell A Vision,Code Is Law,014,"Driving, effective, boomy Techno stompers",79910
Drax Response,The Heart And The Stone,Sonic Groove,1883,"Effective, EBMish, stomping Techno EP",21398
J.Manuel,Drive Fiction,Werk,002,"Fresh, forceful, dreamy Techno bangers (download card included)",79860
Milton Bradley,Tragedy Of Truth,Do Not Resist The Beat,10,"Full range Milton Bradley Techno sound: dark, Industrial leaning to 1990s style Acid",06010
Various Artists,Mutable Minds II,Mindtrip,019,"Tough, banging, Acid driven & partly distorted Techno mini compilation",19511
Sei A,Phase EP,Aus Music,129,"Ace, deeply tripping Dub Techno & uplifting, anthemic big room Techno",19428
Pact Infernal,The Descent Chapter II Reincarnated,Horo,Ex 009,"Boomy, pumping to sub heavily pulsating Ambient Techno remix set",29453
J Slusher,Ground Clone Spells,Partial Magic,003,"Raw, distorted & noisy, direct Techno banger",19513
Stanislav Tolkachev,Catacomb Saints,Pohjola,001.5 Ltd,Experimental Techno mindbenders,79114
Various Artists,Forecast (Part 1),Them,007,"Noisy, full on & heavy Techno / IDM integration",28655
Moddullar,Neurotransmitter,Dynamic Reflection,038,"Dense, boomy, effective big room Techno DJ tools",79103
E.D.C.,Endless,Every Detail Counts,001,"Ace, submerged, classic Porter Ricks & Seico Corp reminiscent, droning Techno tempest",78758
Private Press,Part Two,Indigo Aera,022,Strong post-Shed Dub Techno cuts,79791
Manni Dee,Counterculture,Leyla,006,Knock-out rocketing Techno propulsion - killer!,76133
Wire,Wired EP,Mord,003,"Minimalist, effective DJ tool Techno",69160
Charlton,Intelligent Life EP,Mord,008,Crafty Acid Techno banger,71075
Neil Landstrumm,Missing You,Mord,035,"Show stealing, stepping, dark Techno remix bombs",77335
Oliver Deutschmann,Lost In A Loop,Mote Evolver,052,Boomy effective DJ tool Techno cuts,79281
Collin Strange,Acid Non Musica,Summa Cum Laude,004,"Heavily distorted, wild, driving Techno bangers",79722
Jaures,Ursprung Des Irrtums,Die Orakel,008,"Classy, dare-to-be-different Techno / Electronica EP",51919
Don Williams,Detroit Black EP,Artless,2201,"One sided issue, oldschool Detroit-tech string & remake of Maurizio’s ""Domina""",52384
Moerbeck & Wyad,Dark Stars Rising,Code Is Law,013,"Boomy, bold, effective Techno bangers - download code included",78176
Yan Cook,XX,Planet Rhythm,UK BLK 010,"Reduced & concentrated, highly effective big room DJ tool Techno album",75672
Fadi Mohem,Reinforced,Seilscheibenpfeiler,002,"Straight ahead, boomy & effective big room Techno weapons & half-stepping Dubstep bonus",19436
Sigha,Metabolism Remixes,Token,077,"Boomy, dreamy Techno remixes",78803
Various Artists,Social Sculpture,Bleed,010,"Minimalist, experimental edged, partly stomping & pulsating Ambient Techno LP",19515
Reeko,For The Right Hemisphere Brain Damage,Mental Disorder,021,Expertly prod. dense big room Techno pounders,79745
Various Artists,Bavarian Stallion Series 001,RFR,001,Classy Breakbeat Techno excursion into IDM & Electro leftfields,19551
Various Artists,Bavarian Stallion Series 002,RFR,002,Classy Breakbeat Techno excursion into Electro leftfields,79909
Private Press,Zero Sum EP,Rekids,SPX 008,"Hard driving, highly effective Techno set",19288
Ipman,Depatterning,Tectonic,088,"Classy dark, diverse UK Techno / Breakbeat-Techno album",74256
Second Woman,Instant / Apart,Tresor,301,Crafty IDM / Dub-Ambient Techno hybrid EP (download card included),21333
Various Artists,Kern Vol. 3 EP 1 - The Exclusives,Tresor,Kern 03 EP 1,Classy Electro / Techno stepper EP - the exclusives used in Objekt’s Kern mix,76196
Lory D,Jam With Deaf Cats,Seilscheibenpfeiler,001,"Ace, fast paced Acid Techno trips",19527
Various Artists,HYS.K001,Hayes,K001,"Killer, comprehensive, boomy, deep Techno compilation",30958
Various Artists,Act V,Propaganda Moscow,006,"Varied, mesmerizing, boomy Techno mini-compilation",79805
Sciahri,Metamorphosis,Sublunar,004,"Far reverberating, grinding Techno trips",79905
Jonas Kopp,Photon Belt,Tresor,293,"Full range, club aiming, classy Techno works (w/ download code)",33771
Lemna,Urge Theory,Horo,Ex 015,"Atmospherically textured, rhythms focused, stepping DJ tool Techno set",24122
Damon Bell,Ankh Boogie EP,Don’t Be Afraid,025,"Superb, warm, storming Techno",51966
Kas:st,Raving Alone,Prodigal Son,005,"Driving, choral, big room Techno EP",79763
Charles Green,Innerzone,Revenge Techniques,002,"Raw, banging, highly effective Techno EP",79813
Ipman,Constrict / Running Man,Tectonic,096,Hard hitting UK Industrial Techno steppers,44428
Alex Coulton,Gamma Ray Burst,Tempa,112,"Blinding, sparse Bristolian Techno step science - Highly Recommended!",45622
Marcelus,Vibrations,Tresor,287,"Boomy, optimised, deadly, rhythm focused DJ tool Techno set",68389
Projekt Gestalten,He Bleeds Stories,Vraaa,001,Driving acidic Techno bangers,79810
DJ Bwin,Trinity,Hundert,102,Superb Techno EP heavily indebted to UK hardcore heritage,78424
"SØS Gunver Ryberg, Aïsha Devi, Rrose, Paula Temple",Decon Recon #2,Noise Manifesto,005,"Experimental edged, UK Techno leaning mini sampler",77654
SØS Gunver Ryberg,Solfald,Noise Manifesto,007,"Dark, heavy, intense & outstanding Goth-Ambient & Industrial centred, Techno affine EP",19462
Lucy,Tarkomania,Stroboscopic Artefacts,Totem 001,Stomping atmospheric Techno DJ tools,19631
Kastil,Anemic Lust,Cabrera,012,"Flawless, dubbed out, boomy Techno trips",79840
Undveld,Felsaad Tern,Order & Devotion,004,"Flawless, dense big room Techno EP b/w driving Kwartz remix",79759
Eyssenah,Stardust Breaker,Taapion,010,"Ace, heavily stomping Techno bangers",79755
Christian Wünsch,Modern Theories of Genetics,Tsunami,046,"Superbly produced, boomy, deep Techno album",19387
Pär Grindvik,Sole Survivor,Weekend Circuit,016,Perfect big room Techno banger,38887
Andrea,Outlines,Ilian Tape,028,"Boomy, stepping, early 1990s Detroit/Reese-Techno reflecting killer EP",34555
Pharaoh,Spiral,Parallax,005,"Minimalist, spaced out, flawless Techno set",29367
Melania,Rimorsum,Aufnahme + Wiedergabe,XVIII,"Uncompromisingly hard, 1990s EBM leaning, club aimed Techno bangers",78152
Konkurs,Object Of Subversion,Aufnahme + Wiedergabe,XXII,Pounding 1990s EBM indebted Techno hybrids,20237
Human Performance Lab,Armed Vision,Aufnahme + Wiedergabe,XXIV,1990s EBM rooted Techno EP,20269
Acid Vatican,Psychoterrorpriest,Aufnahme + Wiedergabe,XXVIII,"Antoni Maiovvi & Vercetti Technicolor prod. current, club aimed EBM / Techno hybrids",19558
Kwartz,Body Sedation,Horo,Ex 019,Pulsating Industrial tinged Ambient Techno / Techno excursions,19471
Unkown Artist,Generation X,Generation X,001,Heavy Rave Techno bangers,79606
TM404 & Echologist,Infiltrated,Kynant,010,"Flawless, atmospheric, dubbed out Ambient Techno EP",79767
Various Artists,Profile EP,Planet Rhythm,UK 101,"Straight ahead, perfectly crafted big room DJ tool Techno EP",01585
Tensal,Tensal D,Tensal,004,"Effective, minmalist DJ tool big room Techno",73769
Neel & Natural Electronic System,Sinergia EP,Tikita,008,Puristic Ambient Techno trips,79828
Various Artists,Reissues,Virgo,006,Highly effective big room Techno pounders,79752
Redcell,Interim : Outerim : Fear,B12,008,1993 UK ’Intelligent Techno’ gem - two mint black vinyl copies,03266
YYYY,Intention Of Mortal,Weekend Circuit,014,"Subtly Ambient-ish to stomping, dark full range Techno set",07553
Lucy,The Hermit,Zehnin,001,"Droning, boomy, minimalist Techno",37055
H4L,Four Lights,Astray,003.2,"Diverse, big room aimed, IDM edged Techno set",20252
Arkajo & DJ Lily,BROR03,Bror,003,"Breakbeat saturated & straight ahead, minimalist Techno trips",34306
DJ Lily,BROR04,Bror,004,"Tripping, minimalist DJ tool Techno / Tech House set",34307
DJ Lily,BROR05,Bror,005,Minimalist DJ tool Techno work outs,34345
Nastia Reigel,"Trust, Intimacy",Enemy,034,"Boomy, effective big room Techno set",38609
Gabriella Vergilov,One Step Ahead,Enemy,036,"Effective, deep to punchy Techno cuts",79508
Various Artists,Various Artists,Analogue,006,"Excellent, heavy hitting Techno mini-compilation",79746
Emmanuel,Diamonds & Ashes,Arts,Core 001,Driving Techno bangers,78117
Teste,The Box Man,Bite,002,"Ace, dark, EBM / Industrial schooled Techno force",19547
Cirkle,Noniya,DYAD,010,"Effective, reverberating, boomy DJ tool Techno bangers",79738
Conforce,North To South - Part 2,Delsin,119,Fine moody and tripping Techno cuts,77211
Farrago,Risin',Lenske,001,"Highly effective, fresh, banging Techno raves w/ dystopic Kobosil pounder",79473
Mark Broom,Dank,Proper Techno Tunes,002,Heavily stomping big room Techno effectiveness,79485
VII Circle / Memorial Home,Split EP,Rapid Eye Movement,004,Heavily stomping Techno trips,19460
Manni Dee,Pareidolia EP,Black Sun Records,006,"Intense, hard jacking Techno",67900
Hugo Massien,Advanced Aerial Threat EP,Tectonic,102,Awesome blend of braindancing breakbeat Techno adventures & Grime vibes,19728
Banke,Totem,Token,081,"Varied, boomy, dubbed out, DJ friendly Techno EP",79475
Lost Trax,Lost2,Delsin,X 13,"Reissue of driving, warm, Detroit tinged Techno trips",79562
Tyler Dancer,Resisting In The Darkness,Don’t Be Afraid,034,"Direct, heavily stomping to minimalist, Electro akin, effectively jacking Techno EP",26107
Traces of Malmokon,Tso,Don’t Be Afraid,Special Editions 6,"Effective, reduced DJ tool Techno set",33021
Various Artists,Radiate,Oblique Music,007,"Dense, boomy, mesmerizing big room Techno mini-compilation",79729
Unknown Artist,303 202 EP,Planet Rhythm,UK 303202,"Raw, classic Acid oriented, effectively stomping Techno tools",79345
STL,Spice,Solar Phenomena,009,Minimalist Dub House EP,79731
Jonas Kopp,Tremsix EP,Tremsix,001,Expertly prod. stomping Techno / 80s New Wave oriented cuts,79726
Keeno18,Los Green,Ultramajic,035,Remarkable eccentric DJ tool Techno cuts,79652
Tobias,A Series Of Shocks,Ostgut Ton,LP 016,Perfectly crafted Techno trips,70435
Yan Cook,Perfect Mess EP,Cooked,003,"Optimized, sneaky, boomy Techno DJ tools",19522
Femanyst,Post-Traumatic Rave Syndrome,Noise Manifesto,006,"Hard jacking, fresh, percussive, flawless Techno banger",19796
Sølaxid,Moon Light,Volphonie,003,Effective boomy Techno EP,79735
Various Artists,Masthead,Awry,003,"Varied, boomy, dreamy Techno mini-compilation",79610
Cadency,Federación Neutrino,Cabrera,011,"Uplifting, straight forward driving Techno EP",79710
Lost Trax,The Saturnian System,Delsin,X 11,Driving dreamy Detroit tinged Techno trips,78540
Redshape,The Gate,Present,16,"Uplifting, perfect, big room compatible, party Disco beat relying Techno trips",19784
Juan Atkins & Moritz von Oswald Present Borderland,Transport,Tresor,285,Classic Detroit school committed Techno album,75636
Rhyw,Unpunishable,Arcing Seas,006,Ace Techno explorer,19758
Sept,Challenge,Voxnox,034,Heavily banging big room Techno pounders b/w excellent Headless Horseman remix,34510
Various Artists,The Midnight Manual,Midnight Shift,X 5Y,Diverse leftfield House / Techno compilation w/ remarkable Hodge appearance,19753
Strisc,Feral EP,Strisctrx,004,"Stomping, bleeping to subtly droning & Acid driven Techno drivers",18156
Rrose,For Aquantice,Eaux,691,Pure and spaced out Techno workouts,74722
Dustin Zahn,New Day Rising Remixes,Enemy,029,"Classy, driving, sparse & Dub House leaning Techno remix set",74472
Dustin Zahn,Ascension,Enemy,030,Well balanced & reduced big room Techno bangers,75462
Ambivalent,Drag,Enemy,032,Effectively pounding Techno cuts w/ excellent Amotik & Dustin Zahn remixes,47450
Z.I.P.P.O & Hiver,The Age Of Singularity,Fides,007,"Perfectly prod. classic 90s oriented, dreamy Techno EP",78890
Aiken,Genetics Remixes,Non Series,029,"Expertly produced, diverse, boomy Techno remixes",79386
P.Leone,Chances We Take,Rekids,SPX 005,Effective DJ tool Techno set,21391
Inigo Kennedy,Strata,Token,082 LP,"Rapturous, IDM leaning Techno album - CD version included",79531
P.E.A.R.L.,Body Arched,Weekend Circuit,019,"Dark, storming Techno slammer",23007
Bnjmn,Final Network,Bright Sounds,011,"Blissful, atmospheric, boomy Techno EP",79602
Ravechild,Sonnenhang,Schleifen,003,"Effective, driving, dreamy Techno EP",79560
Answer Code Request,Neume,Ostgut Ton,094,"Fabulous, anthemic, pounding Techno bomb b/w wonderful Ambient Techno cuts",76020
Marcel Dettmann,Dettmann II,Ostgut Ton,LP 014,Diverse DJ tool Techno album,69140
Prequel Tapes,The Stream,Midnight Shift,Ltd. 003,"Minimalist, rhythm & Acid basslines centred Techno cuts w/ locked grooves",26641
Anthony Naples,OTT / ZTL,ANS,1000,"Minimalist, compelling to subtly atmospheric, driving leftfield Techno trips",20027
Forward Strategy Group,Warehouse Memories,Arts,Rave 002,"Grinding, heavily pounding, dubbed out big room Techno EP",79480
Cncpt,Peonia,Brenda,009,"Perfect, pure, spacious Techno trips",79542
Steven Porter,Reservoir,Kynant,009,"Atmospheric, boomy, far reverberating Techno trips",79474
Psyk,Voiceprint,Non Series,030,Flawless boomy Techno hypnotism,79499
Sev Dah,Lisina,Proletarijat,006,Highly effective DJ tool Techno stompers,79649
Discrete Circuit,Control Zero EP,Astray,001.3,Flawless Techno weapon,19760
Juxta Position,Elixir,Figure,096,"Mark Hawkins produced perfectly pounding, raw Techno smasher",19778
Matushka,Meta,Parallax,007,Sparse metallic Techno rhythms set,79623
Developer,Archive 9,Developer,009,"Droning, pounding, mesmerizing, highly effective Techno set",19776
Various Artists,Spatial Cues 4,Spatial Cues,004,"Driving, subtly dubbed out, classic Techno pressure",23572
Dylan Cameron,Purgatory,T.R.U.,004,"Well saturated & distorted, noisy & direct Techno jams",19799
MGUN,If You're Reading This,Don’t Be Afraid,012,"Fine, retroesque, raw Techno centered Electronic jams",68490
Carbone,Carbone Master System Remixes,Carbone,003,Heavy fast-paced Techno remix set,79551
Various Artists,HYS 002,Hayes,002,"Fabulous, forceful, dubbed out Techno mini-compilation",79604
Bill Youngman,Levitate,Killekill,019,"Storming & pioneering, dark killer Techno",71089
Endlec,The Abyss Gazes Also EP,Mord,016,Jacking killer Techno EP,72715
D. Carbone,Acid Futurism EP,Planet Rhythm,UK 093,"Noisy, acidic 1990s style Techno rave banger",69799
Rod Malmok,Back To Square One,Rod Malmok,001,Varied arpeggiated synth lines driven Techno album,78618
Le Officine Di Efesto,The Elements,Spazio Disponibile,013,Atmospheric Ambient Techno immersion,79463
Aiken,Basic Principles,Timeline,004,Boomy effective Techno stompers,79550
Phase,Boundary Interactions,Token,080,Expertly boomy & spaced out big room Techno effectiveness,21328
Marko Fürstenberg,Counter Mode EP,Artless,2192,Heavy chords driven techno cuts,61328
Marko Fürstenberg,Repentance EP,Artless,2196,Extended dub techno trips,55997
Shinichi Atobe,Ship-Scope,DDS,014,2015 reissue of a wonderful Chain Reaction classic,74419
Damcase,Anom Valley EP,Mord,026,"Reckless, high-casualties Techno frontal attacks",31126
Pacou,A Shot in the Dark EP,Tresor,292,"Deadly, perfect Techno banger",37187
Tv.Out,Further,L.I.E.S.,107,"Dark, minimalist, subtly 1980s Wave / EBM atmospheric Techno grooves",21382
Mental Overdrive,Epilogue - Remixes Part 1,Rett I Fletta,015,"Superb set of reduced, heavy, stepping Techno remixes",20229
Mental Overdrive,Epilogue - Remixes Part 2,Rett I Fletta,016,"Remix set from dark, pounding to uplifting, atmospheric Techno",20228
Various Artists,://about blank 004,About Blank,004,"Tough, dark, boomy Techno to swinging, atmospheric Tech House",19064
Mike Dehnert,Brennweite EP,Fachwerk,041,"Expertly executed, flawless & highly effective Techno stompers",21443
Pjotr G & Dubiosity,Tabula Rasa,Lateral Fragments,002,"Boomy, dreamy, far reverberating Techno / Ambient Techno EP",79547
Vimana,Rukma Vimana,Vimana,001,"Raw, heavily stomping Techno bangers",79522
Phase Fatale & Silent Servant,Confess,Bite,001,Powerful EBM / Industrial Techno EP,33425
Various Artists,Mutable Minds,Mindtrip,018,Perfect big room Techno mini compilation,20200
Dustin Zahn,Take The Throne,Rekids,SPX 007,Perfect big room DJ tool Techno set,19986
Various Artists,Archive Number 016,Sleeparchive,16,Carefully compiled Techno banger w/ locked grooves,75971
Johannes Volk,Beneath The Ice,Exploration,007,"Epic, uplifting 1990s Detroit Techno rooted EP",69614
Abayomi,Winters EP,Abayomi,004,"Pulsating, densely atmospheric, perfect Techno trips",20189
3KZ,Not From Here,Balans,021,"Flawlessly beautiful, bouncy, Z.I.P.P.O & Kaelan prod. classic Detroit Techno drivers",78046
Steffi & Dexter,Zatlap,Klakson,025,Gleaming detroitish Techno tracks,77533
J. Tijn,The Deluge,Lost Palms,011,"Dubbed out Ambient leaning, partly noisily saturated Techno works",19782
Pfirter,Universe,Stroboscopic Artefacts,009,Stomping & dark DJ tool Techno,63243
Yagya,Will I Dream During The Process?,Subwax,LP 02,Pure Ambient / Ambient Techno bliss,19072
Lowfreq77,1804,Summa Cum Laude,002,Driving pure Techno cuts,78407
The Secret Initiative,The Secret Initiative Anthology,TSI,ANT 1,"Adam X prod. spaced out, rawly Acidic, minimalist, 1990s NY Techno trained compilation",19234
Ctrls,Charge,Token,044,Effective Techno Banger in three versions,70847
Ctrls,Users,Token,050,Superb kicking & stepping Techno EP,72533
Conforce,Zero Point-Field,Bright Sounds,010,"Fabulous, atmospheric, highly effective Techno EP",79479
Klockworks,Klockworks 2,Klockworks,002,Storming Techno stomper,53850
Awdha,Uno,Arts,White 001,"Ace, direct, raw Techno bangers",79483
Viels,Distrophism,Dynamic Reflection,039,Boomy dense big room Techno trips,79548
Various Artists,Limits Of Existence Vol. 2,Falling Ethics,Eleven 002,Immersive Techno experimentalism,79224
Fjaak,Keep The Funk,Fjaak,003,Effective DJ tool Techno bangers,79533
Twcor,Grey Matter,Planet Rhythm,UK LTD TWCOR,Forceful big room Techno pressure,79489
Denise Rabe,The Lion's Share,Rabe,002,"Straight forward, bottom heavy, anthemic big room Techno cuts",79484
Planet Underground,Shtum 015,Shtum,015,Raw & dirty Techno rhythm workouts,21322
Johannes Volk,Designing Evolution,Token,073,"Fabulous, urgent & effective, Detroit schooled Techno bangers",78047
Inigo Kennedy,Magma,Token,079,Perfect dreamy big room Techno stunners,79145
Rupcy,Utow,Ilian Tape,023,Striking Techno banger,70558
Roman Poncet,Gypsophila,Figure,LP 02,Perfect big room Techno w/ explorative Electronica thrown in,20259
Klauss & Craig,Momentum,Planet E,65391,"Epic, outer-space Techno trip",20305
Shlømo,Remixed EP,Wolfskuil,040,"Boomy, atmospheric, banging to ambientish Techno remix compilation",79332
Koichi Shimizu,Wholetone EP,Holotone,002,"Superb, colorful, IDM tinged Techno steppers",77410
Shards,Rowing Sheep Smile For The Dead EP,Mord,007,Out-of-the-ordinary killer Techno,70470
Elad Magdasi,Killer Hertz,Front Left,004,"Ace, driving, pure, stomping Techno cuts",79086
Milton Bradley & Lockertmatik,030-0351 EP,Lockertmatik,009,Fine DJ tool Techno cuts,79383
Dax J,Public Morality,Monnom Black,014,Diverse banging Techno / Drum & Bass album - download code included,79446
Vofa,PI 05,Pi Electronics,005,Sawf & ANFS prod. heavy hitting Industrial Techno EP,79481
Hiroaki Iizuka,Inside,Self Reflektion,011,Highly effective Endlec remix Techno slammers,79417
Wice,Hedonism EP,Steinlach,001,"Widely reverberating, effective, spaced out classy Techno set",31104
JP Enfant,Echoes Of You EP,Artless,2189,"Atmospheric, 1990s Detroit schooled Techno EP",71553
Stephen Brown,Illuminance EP,Artless,2191,"Classy jacking, classic Detroit Techno school rooted cuts; repress w/o sleeve",02191
Various Artists,LF RMX 007,LF RMX,007,Perfect big room Techno mini compilation of Len Faki edits & remixes,20199
Anno Stamm,To Gravit And Symmet We Rhyth,All City,ACASLPx1,Bold and imaginative killer Techno album,75595
Various Artists,Paris Club Music – Volume 2,Clek Clek Boom,LP 003,Fine diversified Techno label showcase,71370
